"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12","12","104","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C13","1","C_Polarized","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12","12","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D13","1","1N4148WT","","","","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"H1,H2,H3,H4,H5,H6,H7","7","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Conn_01x02","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"Q1","1","MMFTN3402","","","","Package_TO_SOT_SMD:SOT-23","https://www.tme.eu/pl/details/mmftn3402-dio/tranzystory-z-kanalem-n-smd/diotec-semiconductor/mmftn3402/?brutto=1&currency=PLN&utm_source=google&utm_medium=cpc&utm_campaign=P%C3%B3%C5%82przewodniki%20PL%20%5BPLA%5D%20CSS&gad_source=1&gad_campaignid=9724292820&gclid=CjwKCAjwuePGBhBZEiwAIGCVS9cVb-b72OLGmN1n-Utdm5c9Ia6jxxhktokaXH7VAm-_kfB--H1tIBoCor8QAvD_BwE"
"R1","1","R100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3","1","R330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24","24","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","WEMOS_D1_mini","","","","RF_Module:WEMOS_D1_mini_light","https://wiki.wemos.cc/products:d1:d1_mini#documentation"
